Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Cawthorn	David Madison		P	NC11	2021	10/17/2021	20019640
Hon.	Cawthorn	David Madison		X	NC11	2021	5/8/2022	30016666
Hon.	Chabot	Steve		O	OH01	2021	5/10/2022	10048020
Hon.	Chabot	Steve		P	OH01	2021	7/28/2021	8218196
Hon.	Chabot	Steve		P	OH01	2021	2/28/2022	8218581
Mr.	Chaires	Justin Raphael		C	NY20	2021	5/16/2021	10040487
	Chan	Sea		D	WA09	2021	10/25/2021	40003265
	Chapman	John		C	SC06	2021	5/24/2021	10040633
	Chavez	Jonathan		C	GA04	2021	12/20/2021	10044266
	Chavez-Deremer	Lori		C	OR05	2021	10/15/2021	10043820
	Chen	Jay		A	CA39	2021	7/26/2022	10050059
	Chen	Jay		C	CA39	2021	8/13/2021	10039568
	Chen	Jay		X	CA39	2021	6/1/2021	30014918
	Chen	Jay		X	CA39	2021	6/15/2021	30014956
Hon.	Cheney	Elizabeth		O	WY00	2021	8/13/2022	10050214
Hon.	Cheney	Elizabeth Mrs		X	WY00	2021	5/17/2022	8218822
Hon.	Cherfilus-McCormick	Sheila		H	FL20	2021	8/12/2022	10046839
Hon.	Cherfilus-McCormick	Sheila		X	FL20	2021	5/9/2022	30016677
Hon.	Cherfilus-McCormick	Sheila		X	FL20	2021	6/7/2022	8218943
	Chess	Steven		C	FL22	2021	8/18/2021	8218300
	Childress	Earl		X	MO01	2021	6/2/2021	8218064
	Chima	Harpreet Singh		C	CA09	2021	5/9/2022	10047725
	Ching	Eric J.		A	CA39	2021	7/7/2022	10049933
	Ching	Eric J.		C	CA39	2021	7/7/2022	10049927
Mrs.	Christophe	Sandra		C	LA05	2021	3/16/2021	10039638
Hon.	Chu	Judy		O	CA27	2021	5/14/2022	10046716
	Chuba	Jon		A	FL05	2021	6/7/2022	10049691
	Chuba	Jon		A	FL05	2021	6/7/2022	10049694
	Chuba	Jon		C	FL05	2021	6/5/2021	10040796
Hon.	Cicilline	David N.		O	RI01	2021	5/16/2022	10048615
	Ciscomani	Juan		C	AZ02	2021	10/1/2021	10043781
Hon.	Cisneros	Gilbert		P	CA39	2021	1/11/2021	20017992
Hon.	Cisneros	Gilbert		T	CA39	2021	4/27/2021	10039421
Hon.	Cisneros	Gilbert		X	CA39	2021	1/11/2021	30011630
	Cisneros	Jessica		C	TX28	2021	11/7/2021	10043999
Dr.	Cisneros	Laura E.		C	TX34	2021	1/27/2022	10044180
Dr.	Cisneros	Laura E.		X	TX34	2021	12/13/2021	30015184
Dr.	Cisneros	Laura E.		X	TX34	2021	1/10/2022	30015235
	Clancy	Mike		C	VA11	2021	1/13/2022	10043875
	Clancy	Mike		X	VA11	2021	10/18/2021	30015120
Hon.	Clark	Katherine M.		O	MA05	2021	8/12/2022	10046913
Hon.	Clark	Katherine M.		P	MA05	2021	3/2/2021	20018307
Hon.	Clark	Katherine M.		P	MA05	2021	7/8/2021	20019054
Hon.	Clark	Katherine M.		P	MA05	2021	8/4/2021	20019234
Hon.	Clark	Katherine M.		P	MA05	2021	8/15/2021	20019340
Hon.	Clark	Katherine M.		P	MA05	2021	10/14/2021	20019623
