Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Burgess	Michael C.		X	TX26	2022	5/11/2023	30018552
Mr.	Burleson	William Wade		C	OK03	2022	5/16/2022	10048042
	Burlison	Eric		C	MO07	2022	7/1/2022	10046948
	Burlison	Eric		X	MO07	2022	5/12/2022	30016587
Hon.	Burlison	Eric		H	MO07	2022	8/7/2023	10055338
Mr.	Burns	George H.		D	NY23	2022	10/17/2022	40003412
	Burril	Matthew		C	NC11	2022	5/16/2022	10049239
Hon.	Bush	Cori		O	MO01	2022	5/15/2023	10054577
	Butler	Darrius Maurice		C	GA08	2022	5/14/2022	10048779
	Buttar	Shahid		C	CA12	2022	5/31/2022	10049577
	Bye	Chris		C	AK00	2022	5/24/2022	10048906
	Cabrera	Ed		C	TX28	2022	4/15/2022	10046242
	Calabrese	Curtis		C	FL22	2022	4/25/2022	10046799
	Call	Jason		C	WA02	2022	5/16/2022	10048927
Hon.	Calvert	Ken		O	CA41	2022	5/12/2023	10053669
Hon.	Cammack	Kat		O	FL03	2022	8/17/2023	10054281
Hon.	Cammack	Kat		X	FL03	2022	5/13/2023	30018795
	Campbell	Heidi		C	TN05	2022	4/18/2022	10046370
	Campbell	William		C	UT01	2022	3/7/2022	10044673
	Canepa	David		C	CA15	2022	5/16/2022	10046238
	Cannata	David B.		D	MA04	2022	8/30/2022	40003404
	Canning	Doyle		C	OR04	2022	5/27/2022	10049420
	Cannon	Tina		X	UT01	2022	3/16/2022	30015279
	Cao	Hung		C	VA10	2022	4/21/2022	10046564
	Caplan	Stan		C	CA51	2022	4/23/2023	10050885
	Caraveo	Yadira		C	CO08	2022	5/16/2022	10048369
Hon.	Caraveo	Yadira		H	CO08	2022	8/4/2023	10053741
Hon.	Caraveo	Yadira		X	CO08	2022	5/10/2023	30018471
Hon.	Carbajal	Salud O.		O	CA24	2022	8/7/2023	10053919
Hon.	Carbajal	Salud O.		X	CA24	2022	5/11/2023	30018553
	Carbonaro	Anthony Michael		C	MI13	2022	6/23/2022	10049841
Dr.	Carcamo	Rafael		C	CA35	2022	4/1/2022	10044741
Hon.	Cárdenas	Tony		O	CA29	2022	8/7/2023	10051444
Hon.	Cárdenas	Tony		X	CA29	2022	4/4/2023	30017865
	Carey	Jan		C	NC14	2022	4/17/2022	10046306
Hon.	Carey	Mike		O	OH15	2022	8/13/2023	10053836
Hon.	Carey	Mike		X	OH15	2022	5/17/2022	8218823
Hon.	Carey	Mike		X	OH15	2022	5/24/2023	8219677
Hon.	Carl	Jerry Lee	Jr.	O	AL01	2022	5/15/2023	10054525
Mr.	Carlson	Eric Joseph		C	IL01	2022	10/13/2022	8219247
Mr.	Carlson	Eric Joseph		D	IL01	2022	7/28/2022	8219132
	Carnahan	Jennifer		C	MN01	2022	5/16/2022	10047025
	Carroll	Mark Joseph		A	IL11	2022	6/14/2022	10049660
	Carroll	Mark Joseph		C	IL11	2022	5/23/2022	10048157
	Carroll	Mark Joseph		X	IL11	2022	6/3/2022	30017187
Hon.	Carson	André		O	IN07	2022	5/13/2023	10054306
	Carson	Paulette		C	TX17	2022	5/7/2022	10047666
Hon.	Carter	Earl Leroy		O	GA01	2022	7/19/2023	10052875
Hon.	Carter	Earl Leroy		P	GA01	2022	2/9/2022	20020422
Hon.	Carter	Earl Leroy		X	GA01	2022	5/2/2023	30018177
Hon.	Carter	John R.		O	TX31	2022	5/13/2023	10052008
